id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade
p03	2015	07	02	14	35	f	21	l	47.204467208	1	32	0.524574122974	1.47793173597	tactile	left	right	visual	NA	468.741944642	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	33	0.767665085965	1.33681101701	tactile	left	left	tactile	NA	487.601108674	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	34	0.673484210973	0.865212331126	visual	left	right	visual	NA	618.928487587	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	35	0.429046824982	0.693769012302	visual	left	left	tactile	NA	574.573665333	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	36	1.125543601	1.36570351298	tactile	right	left	visual	NA	646.300903696	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	37	0.582401209977	1.33200060005	tactile	left	right	visual	NA	466.739173629	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	38	0.523246310011	1.23417892953	visual	right	right	tactile	NA	564.157909132	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	39	0.613963784999	1.35946391633	tactile	left	left	visual	NA	506.046444352	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	40	0.408457776997	0.520983736159	visual	right	left	visual	NA	573.319919466	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	16.25616636	1	41	2.582206939	0.750149053624	tactile	left	left	tactile	NA	587.073884031	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	16.25616636	1	42	0.960659966979	1.24562983304	visual	left	right	tactile	NA	511.79444365	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	16.25616636	1	43	0.975478445995	0.634682721414	visual	left	left	tactile	NA	716.906089277	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	16.25616636	1	44	0.661512241	1.20822787787	tactile	right	right	tactile	NA	797.244428832	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
